TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price_x,CalculatedTotal,CustomerName,Region,SignupDate,ProductName,Category,Price_y
T00001,C0199,P067,25-08-2024 12.38,1,300.68,300.68,300.68,Andrea Jenkins,Europe,03-12-2022,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00112,C0146,P067,27-05-2024 22.23,1,300.68,300.68,300.68,Brittany Harvey,Asia,04-09-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00166,C0127,P067,25-04-2024 7.38,1,300.68,300.68,300.68,Kathryn Stevens,Europe,04-04-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00272,C0087,P067,26-03-2024 22.55,2,601.36,300.68,601.36,Travis Campbell,South America,11-04-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00363,C0070,P067,21-03-2024 15.10,3,902.04,300.68,902.04,Timothy Perez,Europe,15-03-2022,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00442,C0188,P067,26-12-2024 14.40,1,300.68,300.68,300.68,Anna Ball,South America,17-05-2022,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00490,C0195,P067,24-11-2024 11.49,3,902.04,300.68,902.04,Jeremy Mclaughlin,South America,17-09-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00536,C0008,P067,22-09-2024 6.13,1,300.68,300.68,300.68,David Li,North America,13-01-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00564,C0157,P067,07-12-2024 17.57,3,902.04,300.68,902.04,Miguel Wong,North America,30-01-2024,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00631,C0130,P067,14-05-2024 23.14,2,601.36,300.68,601.36,Robert Jones,South America,19-04-2023,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00727,C0051,P067,20-01-2024 4.52,3,902.04,300.68,902.04,Nicholas Ellis,Europe,21-12-2023,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00729,C0075,P067,07-10-2024 6.38,2,601.36,300.68,601.36,Misty Higgins,Europe,01-05-2023,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00797,C0155,P067,04-10-2024 20.42,2,601.36,300.68,601.36,Michelle Brown,South America,23-03-2023,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00002,C0092,P034,16-12-2024 3.31,2,434.1,217.05,434.1,Jacqueline Zamora,Asia,29-05-2024,HomeSense T-Shirt,Clothing,217.05
T00063,C0088,P034,19-06-2024 7.16,2,434.1,217.05,434.1,Carlos Murray,Asia,14-05-2023,HomeSense T-Shirt,Clothing,217.05
T00093,C0109,P034,11-08-2024 4.10,4,868.2,217.05,868.2,Abigail Jones,North America,09-05-2022,HomeSense T-Shirt,Clothing,217.05
T00127,C0041,P034,03-06-2024 21.07,4,868.2,217.05,868.2,Lindsey Deleon,Europe,27-12-2023,HomeSense T-Shirt,Clothing,217.05
T00270,C0101,P034,07-11-2024 2.48,3,651.15,217.05,651.15,Kelsey Roberts,Asia,30-09-2023,HomeSense T-Shirt,Clothing,217.05
T00358,C0154,P034,08-04-2024 20.47,1,217.05,217.05,217.05,Robert Sharp,North America,27-10-2024,HomeSense T-Shirt,Clothing,217.05
